,cycle,max_distemp,max_chtemp,capacity,dis_time,chr_time,Discharge_voltage,Discharge_current,Discharge_min_Threshold_voltage_time,Charging_max_Threshold_voltage_time,Discharge_min_Threshold_voltage_temp,Charging_max_Threshold_voltage_temp,SOH,RUL
0,1,10.851944131643279,8.728337360007776,1.6579955793677608,6436.141,10803.313,2.7,1,6004.953,1292.25,10.815982095007524,8.472524858886754,1.0,72
1,2,10.829468947828506,8.540203319870198,1.5076933476098775,5650.265,10802.077999999994,2.7,1,5461.64,1195.234,9.427266915557423,7.3497654020600605,0.9093470250293444,71
2,3,11.053444137693344,8.447044657958907,1.4989223343608031,5590.907,10807.688,2.7,1,5429.047,1213.016,11.053444137693344,6.5645873011736136,0.9040568943690329,70
3,4,10.582379295049947,8.32832750131666,1.4782919502497789,5543.61,10805.687,2.7,1,5354.032,1083.14,8.496131180030437,5.837357528387156,0.8916139274710806,69
4,5,10.227762694291695,8.46996468679888,1.461856891390611,5499.046,10804.078,2.7,1,5295.296,992.156,9.481703306486525,6.826290561821849,0.8817013203063286,68
5,6,10.448166696977866,8.590071846774741,1.4509592706473475,5461.219,10804.969,2.7,1,5256.782,918.766,8.96309128419606,7.372268289461905,0.8751285520318686,67
6,7,11.087645565750543,8.563314740253459,1.451746997147108,5451.281,10808.375,2.7,1,5259.953,959.625,10.860084157365918,7.598437666250486,0.8756036597520356,66
7,8,10.331525897326845,8.633178703415997,1.444392866287476,5468.062,10804.25,2.7,1,5234.609,957.562,10.311374628044002,7.63513009738503,0.871168104584611,65
8,9,10.695473118282326,8.425548150324582,1.432738323965376,5411.297,10802.406000000003,2.7,1,5191.063,945.469,8.512231903980446,6.407486905416681,0.8641388082058207,64
9,10,10.588614300598088,8.76041365449095,1.417241201438662,5369.703,10803.203,2.7,1,5135.375,851.187,10.550843803255122,7.741231873270039,0.8547919060068272,63
10,11,10.710761172174601,8.4751018704149,1.4057559944573452,5327.406,10806.079,2.7,1,5092.375,895.047,8.675642713371955,7.225268956508509,0.8478647421927377,62
11,12,10.526862897224621,8.207344162726946,1.3902706269897063,5299.266,10803.641,2.7,1,5036.141,759.875,10.482702033270714,7.619012459334353,0.838524929915588,61
12,13,10.680714357791624,8.42555325456371,1.4196659307880326,5367.172,10805.125,2.7,1,5145.25,856.297,9.945731827830658,5.82053597708795,0.8562543522156978,60
13,14,10.479304841863389,8.292515552776987,1.4190563985232272,5406.812,10806.202999999994,2.7,1,5142.625,842.406,9.468310871650887,6.074320907290566,0.8558867201952084,59
14,15,10.378581035006627,8.300375301980043,1.404272356704056,5353.094,10807.016,2.7,1,5088.032,777.547,9.783530343947998,6.383826012778982,0.8469699040087572,58
15,16,10.851484720266557,8.47392662453468,1.3916140490958342,5280.031,10803.453,2.7,1,5042.406,848.937,8.873022626953219,7.167719456744087,0.8393351987262203,57
16,17,10.70498211965856,8.454854094828445,1.3749618350294734,5248.593,10807.812,2.7,1,4982.39,785.515,9.150726590608704,6.670375719860286,0.829291617022154,56
17,18,10.268281599303819,8.291303228635622,1.3545155713071164,5203.375,10805.016,2.7,1,4908.172,691.281,9.843080310556918,8.232979408101755,0.8169597001118847,55
18,19,10.420289094539939,8.4269878331479,1.3440223073315984,5166.812,10805.781000000003,2.7,1,4870.015,624.031,10.38088585643359,7.1554159490572955,0.8106308147360146,54
20,21,11.025933551300648,8.521817713530261,1.372384475860572,5340.281,10808.813,2.7,1,4972.625,237.141,9.296618133298182,7.01968161235285,0.827737113981872,52
21,22,10.196289899952209,8.320661536697981,1.3184105752674413,5103.0,10804.828,2.7,1,4777.063,686.907,9.786992454341005,8.409160273334582,0.7951834080101634,51
22,23,10.67776116366158,8.422137523157138,1.3112727599578604,5051.172,10808.359,2.7,1,4752.203,612.047,9.106445509594666,6.18359679206817,0.7908783209529936,50
23,24,10.197605675555666,8.222536087452747,1.2970172419001187,5027.563,10808.75,2.7,1,4700.344,395.953,9.974366592316317,6.756844587074894,0.7822802774870528,49
24,25,10.817583822184044,8.586164888224072,1.2995219526631718,4993.765,10808.5,2.7,1,4708.734,539.859,8.772051142500214,5.973340333418166,0.783790963519164,48
25,26,10.516072793190034,8.37254460882157,1.2826154066729571,4962.469,10808.781,2.7,1,4648.156,589.657,10.461084451848919,8.32298132815926,0.7735939845883386,47
26,27,10.549697060839051,8.528163327313631,1.2752890152407,4907.859,10804.703,2.7,1,4621.203,465.062,10.504748627601545,5.947100866700851,0.7691751601213573,46
27,28,11.262651366620426,8.263966777569763,1.2735572473264072,4888.656,10804.766,2.7,1,4616.047,453.719,11.209167636853822,5.849791861172219,0.7681306652289445,45
28,29,10.67022537319244,8.55282541839998,1.2594114333938535,4866.25,10802.641000000003,2.7,1,4564.516,282.859,10.626930921158896,4.847532735546723,0.759598788480547,44
29,30,11.290252755528313,8.518708558564285,1.2631632585495876,4836.125,10802.015,2.7,1,4576.687,427.875,11.237208287734534,6.832918047763671,0.7618616564896189,43
30,31,10.973350060572036,8.626406160549394,1.2491717310136363,4801.485,10808.25,2.7,1,4527.157,451.203,9.214180141507638,7.773997033782861,0.753422835717077,42
31,32,10.3391489283262,8.391138889995318,1.233984347835307,4760.938,10803.187,2.7,1,4471.828,460.484,10.271917499561386,8.121498801810521,0.7442627490634559,41
32,33,11.22843469416495,8.123052801311596,1.240031992028868,4740.907,10804.329,2.7,1,4494.203,447.641,11.151889936679297,6.7677843279136525,0.7479103125846248,40
33,34,11.142187018109254,8.484692509335503,1.30370857198071,4914.532,10802.156,2.7,1,4725.157,281.688,9.648733008949318,7.346744430681423,0.7863160723732748,39
34,35,11.266783334689709,8.659601569923575,1.315055963470538,4998.656,10804.672000000006,2.7,1,4766.062,413.781,11.244469866067723,6.691067888533246,0.7931601144389089,38
35,36,10.42585253276335,8.63440846220327,1.2888738300982074,4890.015,10806.687,2.7,1,4671.437,599.563,9.73832334742573,8.072857271266384,0.7773686770562382,37
36,37,11.216029100406415,8.721911620928804,1.2877137595885193,4842.11,10804.187,2.7,1,4666.985,588.343,10.286129924355723,8.501032225835512,0.7766689945455463,36
37,38,10.782099455149345,9.172422656290232,1.2673379985315463,4798.281,10804.703,2.7,1,4593.422,559.578,10.738761867128627,8.274797791956315,0.7643796004660139,35
38,39,10.321202935071103,8.317412717228784,1.250594345697306,4739.188,10805.594,2.7,1,4533.735,444.859,10.19893136433461,6.530809454355785,0.7542808685739633,34
39,40,10.970703995179441,9.354776246863146,1.2487131179395878,4733.156,10803.797000000006,2.7,1,4527.359,265.906,10.922962272523717,6.5582639794800555,0.7531462287829238,33
40,41,11.121182366824467,8.639368377485802,1.248002326082933,4670.61,10806.938,2.7,1,4523.282,408.766,9.818255230713941,7.158435190455565,0.7527175232631383,32
41,42,10.805368665446066,9.333226059375846,1.2300895244599586,4635.0,10805.984,2.7,1,4458.125,471.125,10.777012355025954,8.14589791447625,0.7419136334060827,31
42,43,10.904276324187439,9.382529097941227,1.2244197121500935,4615.86,10804.937,2.7,1,4438.344,412.156,10.861685424782454,6.37227403363835,0.7384939546201916,30
43,44,11.177549576040898,8.056637899427066,1.2186682845116386,4580.75,10804.922,2.7,1,4417.672,391.578,11.16070129435551,6.752090430568056,0.7350250505350263,29
44,45,10.375532122783676,8.783599265890997,1.2037865236033616,4557.406,10808.079,2.7,1,4364.5,247.125,10.058103386175718,7.137246923775252,0.7260492962607286,28
45,46,10.314092555911314,8.70683352616266,1.1947642300832226,4524.0320000000065,10808.421,2.7,1,4331.0,453.547,9.74082299683887,8.605830573044734,0.7206076089411644,27
46,47,11.367431862943256,8.444197372719909,1.2052091893871497,4502.938,10809.953,2.7,1,4369.063,417.968,11.367431862943256,8.366724208838408,0.7269073599380338,26
47,48,11.06954549641082,9.7629133306995,1.1955746593628465,4483.094,10803.234,2.7,1,4334.047,396.063,11.026198698121128,6.013079740564363,0.7210964095686865,25
48,49,10.977331626368251,7.988003865434215,1.1888497102149884,4448.36,10806.329,2.7,1,4310.438,359.344,10.911394658354679,7.053520146928472,0.7170403377482644,24
49,50,11.250413706808821,8.676023784079206,1.1915605250807406,4440.531,10804.89,2.7,1,4320.765,206.688,9.906586388335,6.715322640570593,0.7186753329795459,23
50,51,10.261913330935936,8.945651510322765,1.1726587153109655,4416.547,10807.342999999993,2.7,1,4251.656,408.781,10.086760287985827,8.164707570464333,0.7072749348090135,22
51,52,11.209451387068038,8.547320706999065,1.1841133872494156,4382.937,10809.625,2.7,1,4292.703,409.5929999999935,9.889615348970581,8.622742963162384,0.7141836817809554,21
52,53,10.394655986683219,8.740798161715984,1.1576825122317769,4347.453,10804.875,2.7,1,4196.843,395.328,9.563319703236552,8.160964551612874,0.6982422188804828,20
54,55,10.71880829888557,8.415553097900212,1.259355851168598,4746.5,10810.016,2.7,1,4565.203,380.188,10.662944379737356,8.361365147240782,0.7595652647329886,18
55,56,11.267543040114028,8.729501380031133,1.265883375278026,4679.156,10803.282000000007,2.7,1,4588.359,136.73399999999998,10.303326972853588,6.781139906104229,0.7635022620269846,17
56,57,10.977215485451685,8.74994930137779,1.2472598673184119,4596.578,10808.906,2.7,1,4520.953,335.969,9.037774136605146,7.11598983491925,0.7522697182305071,16
57,58,10.698980931953203,9.345269960804083,1.232808747256218,4544.641,10809.375,2.7,1,4468.797,544.86,9.943748480296891,8.263907411678497,0.7435536997790559,15
58,59,11.200778779435032,10.446476242163438,1.2319592783041904,4526.938,10803.938,2.7,1,4466.094,521.688,11.193313951630744,8.344139278579286,0.7430413528448431,14
59,60,11.067122162658642,8.321560914091227,1.220785786262778,4487.438,10802.313,2.7,1,4426.5,522.594,11.054855974342404,8.646802461440727,0.7363021961302799,13
60,61,11.217197558663642,8.350831096441011,1.2275441303266783,4513.312,10807.516,2.7,1,4452.328,483.969,9.72328857739241,8.132776568696515,0.7403784096907994,12
61,62,11.59325762914515,8.850459642380976,1.2386788414290355,4568.438,10804.64,2.7,1,4492.016,268.954,11.55367714431668,6.453248430391166,0.7470941761505647,11
62,63,11.534047303435644,9.244538530067075,1.2283577755407058,4499.656,10807.093999999997,2.7,1,4453.734,270.109,11.493633235136812,6.815661084219189,0.7408691499702987,10
63,64,10.92572543982624,10.235471531342121,1.2095481507570451,4430.984,10803.235,2.7,1,4384.969,514.125,10.855769344734318,8.456896255720267,0.7295243520602624,9
64,65,11.346378697595553,10.754220695641392,1.2082142070681048,4411.141,10805.453,2.7,1,4380.344,501.234,11.326323036616172,8.577742152252197,0.7287198000424283,8
66,67,11.439171740202124,8.441931480717873,1.2998734542832147,4883.312,10806.641,2.7,1,4713.609,477.422,11.379451007949216,7.289476061377535,0.7840029674740702,6
67,68,11.147240167890732,9.266093860319836,1.2691220651743778,4663.907,10807.969,2.7,1,4602.078,455.39,9.86001941984202,7.251271283261144,0.7654556387046152,5
68,69,10.831285577855546,9.769486487200458,1.2555144634690785,4581.328,10809.593999999997,2.7,1,4550.391,52.25,10.119056181760744,5.72406833586456,0.757248378157824,4
69,70,11.236293148641268,9.485689381832074,1.2519876926897657,4553.031,10804.109,2.7,1,4537.609,334.203,10.13837424416214,6.865545059483701,0.7551212489765401,3
70,71,11.08616967823061,10.803093241912954,1.2374982003019996,4486.5,10810.344,2.7,1,4486.5,600.704,11.08616967823061,8.605278150700041,0.7463820867205759,2
71,72,10.751912617606896,8.367319723489471,1.2231273969878986,4450.625,10808.891,2.7,1,4435.047,587.407,10.154929516413995,8.016416863389024,0.7377145103452633,1
